"","date","y"
"959",2019-06-23,0
"960",2019-06-24,0
"961",2019-06-25,0
"962",2019-06-26,0
"963",2019-06-27,0
"964",2019-06-28,0
"965",2019-06-29,0
"966",2019-06-30,0
"967",2019-07-01,0
"968",2019-07-02,0
"969",2019-07-03,0
"970",2019-07-04,0
"971",2019-07-05,0
"972",2019-07-06,0
"973",2019-07-07,0
"974",2019-07-08,0
"975",2019-07-09,0
"976",2019-07-10,0
"977",2019-07-11,0
"978",2019-07-12,0
"979",2019-07-13,0
"980",2019-07-14,0
"981",2019-07-15,0
"982",2019-07-16,0
"983",2019-07-17,0
"984",2019-07-18,0
"985",2019-07-19,0
"986",2019-07-20,0
"987",2019-07-21,0
"988",2019-07-22,0
"989",2019-07-23,0
"990",2019-07-24,0
"991",2019-07-25,0
"992",2019-07-26,0
"993",2019-07-27,0
"994",2019-07-28,0
"995",2019-07-29,0
"996",2019-07-30,0
"997",2019-07-31,0
"998",2019-08-01,0
"999",2019-08-02,0
"1000",2019-08-03,0
"1001",2019-08-04,0
"1002",2019-08-05,0
"1003",2019-08-06,0
"1004",2019-08-07,0
"1005",2019-08-08,0
"1006",2019-08-09,0
"1007",2019-08-10,0
"1008",2019-08-11,0
"1009",2019-08-12,0
"1010",2019-08-13,0
"1011",2019-08-14,0
"1012",2019-08-15,0
"1013",2019-08-16,0
"1014",2019-08-17,0
"1015",2019-08-18,0
"1016",2019-08-19,0
"1017",2019-08-20,0
"1018",2019-08-21,0
"1019",2019-08-22,0
"1020",2019-08-23,0
"1021",2019-08-24,0
"1022",2019-08-25,0
"1023",2019-08-26,0
"1024",2019-08-27,0
"1025",2019-08-28,0
"1026",2019-08-29,0
"1027",2019-08-30,0
"1028",2019-08-31,0
"1029",2019-09-01,0
"1030",2019-09-02,0
"1031",2019-09-03,0
"1032",2019-09-04,0
"1033",2019-09-05,0
"1034",2019-09-06,0
"1035",2019-09-07,0
"1036",2019-09-08,0
"1037",2019-09-09,0
"1038",2019-09-10,0
"1039",2019-09-11,0
"1040",2019-09-12,0
"1041",2019-09-13,0
"1042",2019-09-14,0
"1043",2019-09-15,0
"1044",2019-09-16,0
"1045",2019-09-17,0
"1046",2019-09-18,0
"1047",2019-09-19,0
"1048",2019-09-20,0
"1049",2019-09-21,0
"1050",2019-09-22,0
"1051",2019-09-23,0
"1052",2019-09-24,0
"1053",2019-09-25,0
"1054",2019-09-26,0
"1055",2019-09-27,0
"1056",2019-09-28,0
"1057",2019-09-29,0
"1058",2019-09-30,0
"1059",2019-10-01,0
"1060",2019-10-02,0
"1061",2019-10-03,0
"1062",2019-10-04,0
"1063",2019-10-05,0
"1064",2019-10-06,0
"1065",2019-10-07,0
"1066",2019-10-08,0
"1067",2019-10-09,0
"1068",2019-10-10,0
"1069",2019-10-11,0
"1070",2019-10-12,0
"1071",2019-10-13,0
"1072",2019-10-14,0
"1073",2019-10-15,0
"1074",2019-10-16,0
"1075",2019-10-17,0
"1076",2019-10-18,0
"1077",2019-10-19,0
"1078",2019-10-20,0
"1079",2019-10-21,0
"1080",2019-10-22,0
"1081",2019-10-23,0
"1082",2019-10-24,0
"1083",2019-10-25,0
"1084",2019-10-26,0
"1085",2019-10-27,0
"1086",2019-10-28,0
"1087",2019-10-29,0
"1088",2019-10-30,0
"1089",2019-10-31,0
"1090",2019-11-01,0
"1091",2019-11-02,0
"1092",2019-11-03,0
"1093",2020-02-03,3
"1094",2020-02-04,1
"1095",2020-02-05,0
"1096",2020-02-06,0
"1097",2020-02-07,0
"1098",2020-02-08,0
"1099",2020-02-09,0
"1100",2020-02-10,1
"1101",2020-02-11,2
"1102",2020-02-12,0
"1103",2020-02-13,0
"1104",2020-02-14,1
"1105",2020-02-15,1
"1106",2020-02-16,1
"1107",2020-02-17,12
"1108",2020-02-18,18
"1109",2020-02-19,9
"1110",2020-02-20,1
"1111",2020-02-21,4
"1112",2020-02-22,8
"1113",2020-02-23,8
"1114",2020-02-24,8
"1115",2020-02-25,1
"1116",2020-02-26,3
"1117",2020-02-27,1
"1118",2020-02-28,1
"1119",2020-02-29,1
"1120",2020-03-01,5
"1121",2020-03-02,5
"1122",2020-03-03,1
"1123",2020-03-04,4
"1124",2020-03-05,1
"1125",2020-03-06,0
"1126",2020-03-07,1
"1127",2020-03-08,1
"1128",2020-03-09,2
"1129",2020-03-10,1
"1130",2020-03-11,1
"1131",2020-03-12,0
"1132",2020-03-13,0
"1133",2020-03-14,0
"1134",2020-03-15,0
"1135",2020-03-16,0
"1136",2020-03-17,0
"1137",2020-03-18,0
"1138",2020-03-19,0
"1139",2020-03-20,0
"1140",2020-03-21,0
"1141",2020-03-22,0
"1142",2020-03-23,0
"1143",2020-03-24,0
"1144",2020-03-25,0
"1145",2020-03-26,1
"1146",2020-03-27,0
"1147",2020-03-28,1
"1148",2020-03-29,1
"1149",2020-03-30,0
"1150",2020-03-31,0
"1151",2020-04-01,0
